topology,K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
all_to_all,0.5,9,0.2030092963278467,0.04970110265902404,0.2355,0.48686728171032395,0,0.7915,0.1075,0.175,0.010912521636946603
all_to_all,0.5,10,0.25022933311922074,0.04881556589167021,0.272,0.5366712215127619,0,0.7675,0.147,0.0995,0.01834208079802848
all_to_all,0.5,11,0.3326318019981905,0.06594678550232802,0.8815,0.8902009604578058,0,0.4065,0.2975,0.0995,0.15717944586276733
all_to_all,0.5,12,0.1523952476274812,0.07534070547145515,0.118,0.34939376067697603,0,0.89,0.061,0.4105,0.0023444321725758226
all_to_all,0.5,13,0.20221657097141213,0.09218634285224382,0.274,0.534718617592468,0,0.7665,0.133,0.2915,0.01660595415349969
all_to_all,0.5,14,0.2041194877980206,0.08207459535093752,0.233,0.4855007723989736,0,0.795,0.118,0.182,0.011744263783858828
all_to_all,0.5,15,0.1980682509498962,0.06909379167805649,0.1655,0.39001249979968583,0,0.841,0.0835,0.2445,0.005178001015602517
all_to_all,0.5,16,0.17995690135653403,0.07623575124414644,0.134,0.36884142934328834,0,0.876,0.082,0.2845,0.003750379699298893
all_to_all,0.5,17,0.30993390801480236,0.05321038155575312,0.6525,0.784055961012988,0,0.5185,0.266,0.0995,0.10042110380810546
all_to_all,0.5,18,0.20657766605195274,0.05568260270475748,0.147,0.3967253457998367,0,0.8675,0.092,0.2385,0.004836082017866116
all_to_all,0.5,19,0.1250824966493072,0.0556779114176398,0.0395,0.19984931823751614,0,0.9615,0.031,0.6095,0.00023852016901067412
all_to_all,0.55,0,0.2072480123651235,0.08649503870000888,0.302,0.5601749726647915,0,0.7465,0.146,0.137,0.02073263605530095
all_to_all,0.55,1,0.42356650702194404,0.05873266487360812,2.4105,1.50731209442504,2,0.244,0.4225,0.0995,0.48145055721983
all_to_all,0.55,2,0.1360732354272721,0.06241652172136912,0.1595,0.44951056717278626,0,0.8675,0.0765,0.3785,0.0045563515460653025
all_to_all,0.55,3,0.32968090707646397,0.12997966162269844,1.5085,1.787156330598977,0,0.438,0.31,0.157,0.3113583769213357
all_to_all,0.55,4,0.349895362635311,0.09569831461550948,1.06,1.47220922426128,0,0.511,0.254,0.104,0.1828572196285069
all_to_all,0.55,5,0.29647753402730415,0.040940151582144924,0.5615,0.726785903825879,0,0.562,0.2375,0.0995,0.07560390396381927
all_to_all,0.55,6,0.2272334861659976,0.06575285924308595,0.2235,0.48430130084483564,0,0.806,0.12,0.275,0.011274534377622223
all_to_all,0.55,7,0.42719381980953697,0.06276470948220679,2.1215,1.6543088435960198,1,0.235,0.424,0.0995,0.5365916177743513
all_to_all,0.55,8,0.28992475327397993,0.05967461935004859,0.5915,0.7633005633431696,0,0.55,0.225,0.0995,0.07728418238198118
all_to_all,0.55,9,0.2940316625848277,0.06201027476793618,0.6515,0.8677832390637652,0,0.5525,0.2555,0.179,0.09921908175573745
all_to_all,0.55,10,0.39381298904618633,0.0772696241893814,1.6605,1.4557608835244888,1,0.2935,0.3905,0.0995,0.4016273236025202
all_to_all,0.55,11,0.42339633050643505,0.06979759192432206,2.3065,1.6185047883772232,2,0.2505,0.4385,0.0995,0.531930906315777
all_to_all,0.55,12,0.2963317339600553,0.09925646676149827,0.847,1.1758362981299735,0,0.5565,0.256,0.1875,0.1334997504659681
all_to_all,0.55,13,0.3386868769534679,0.07568220124757415,0.9725,1.0764496040224085,0,0.433,0.306,0.0995,0.18676615980744285
all_to_all,0.55,14,0.3848257923714766,0.06462665147971997,1.3415,1.3597344409847094,0,0.3355,0.362,0.0995,0.3270827609479744
all_to_all,0.55,15,0.2795236535519441,0.054734521274680835,0.4065,0.6513507119824158,0,0.6745,0.1745,0.0995,0.036996557814937873
all_to_all,0.55,16,0.29342296954923275,0.06953952052257882,0.648,0.841484402707501,0,0.5515,0.24,0.0995,0.09057738148484115
all_to_all,0.55,17,0.4190286738603419,0.04480796411796696,2.0755,1.4116655942538232,1,0.2775,0.454,0.0995,0.46304749091909625
all_to_all,0.55,18,0.32763300710433485,0.07017678858711046,1.0115,1.0882866120650387,0,0.407,0.3095,0.0995,0.19973705156079277
all_to_all,0.55,19,0.23136381015585528,0.07196141157960909,0.2975,0.5366504914746655,0,0.7395,0.14,0.1725,0.019571643563878503
all_to_all,0.6,0,0.394802119614129,0.11761344406314113,2.51,2.0944927786936867,0,0.2435,0.3915,0.0995,0.6203254042269983
