seed,branch,K,R_mean,R_std,cluster_mean,cluster_std,cluster_final
0,down,0.675,0.6617304278114178,0.005674776684643166,1.746,0.904148217937745,2
0,down,0.65,0.5300762118034337,0.021836063382350543,2.984,0.9569451394933777,4
0,down,0.625,0.4461340122819463,0.04313793423724917,1.322,1.001157330293296,0
0,down,0.6,0.35293413667227513,0.1268095673185842,0.392,0.7812400399365101,3
0,down,0.575,0.28552516381280635,0.06214586133692392,0.104,0.31809432563313667,0
0,down,0.55,0.08362814909724099,0.019316470863741955,0.0,0.0,0
0,down,0.525,0.20028854285847422,0.036987736984653276,0.002,0.044676615807377355,0
0,down,0.5,0.06692810139109549,0.01680859453855838,0.0,0.0,0
0,down,0.475,0.12781486480059032,0.01950459851966447,0.0,0.0,0
0,down,0.45,0.12173817210668536,0.0744073795229995,0.0,0.0,0
0,down,0.425,0.046933827837887084,0.023987667816673327,0.004,0.063118935352238,0
0,down,0.4,0.10323683307114576,0.0477655728612257,0.004,0.063118935352238,0
1,up,0.4,0.08204226245240478,0.023367740146662444,0.0,0.0,0
1,up,0.425,0.1735994194273577,0.0410233821950505,0.006,0.0772269383052313,0
1,up,0.45,0.22288315480626025,0.03842258007775877,0.004,0.063118935352238,0
1,up,0.475,0.13307233701867105,0.03692958674579227,0.0,0.0,0
1,up,0.5,0.3662485765214573,0.02510291949665242,0.072,0.2584879107424562,0
1,up,0.525,0.41549635760609316,0.021372413436397526,0.424,0.6101016308780038,0
1,up,0.55,0.4197984315813008,0.035456400511516814,0.518,0.6274360525185017,0
1,up,0.575,0.4482647613148793,0.026342093766933628,1.054,0.8550345022278342,0
1,up,0.6,0.5818262328526728,0.013422420975824068,2.686,0.8386918385199655,4
1,up,0.625,0.6809046081247936,0.009145486484372904,1.73,0.73287106642301,3
1,up,0.65,0.7402037248297968,0.003328078099747574,1.266,0.4418642325420785,1
1,up,0.675,0.7753404424692529,0.0021926982347925533,1.182,0.38584452827531446,1
1,up,0.7,0.8019816972822216,0.0007581309161950131,1.0,0.0,1
1,up,0.725,0.8232102465792605,0.0003253749648230152,1.0,0.0,1
1,up,0.75,0.8405344823984134,8.491105386682119e-05,1.066,0.24828209762284514,1
1,up,0.775,0.8550009773786367,3.097794753587187e-05,1.186,0.3891066691795451,1
1,up,0.8,0.8672892593323852,1.6500548320098823e-05,1.28,0.44899888641287294,1
1,up,0.825,0.8778753943677602,9.265707712483694e-06,1.352,0.4775939698111775,1
1,up,0.85,0.8870968903493066,5.335347557937536e-06,1.372,0.483338390778138,1
1,up,0.875,0.8952031630320394,3.1371891208640085e-06,1.392,0.4881966816765555,2
1,up,0.9,0.9023839859018308,1.878711334432552e-06,1.356,0.4788152044369519,2
1,up,0.925,0.9087870914042019,1.1434966067702205e-06,1.132,0.33849076796864047,1
1,up,0.95,0.9145296456254243,7.061857929902983e-07,1.084,0.27738781516137295,1
1,up,0.975,0.9197060255607675,4.418278806426313e-07,1.066,0.24828209762284514,1
1,up,1.0,0.9243932591959542,2.796708582595686e-07,1.048,0.2137662274541982,1
1,up,1.025,0.9286549317159581,1.7888546380974803e-07,1.028,0.16497272501841023,1
1,up,1.05,0.9325440531998516,1.1549718571872108e-07,1.008,0.08908422980528033,1
1,up,1.075,0.9361052043951967,7.520178181717265e-08,1.0,0.0,1
1,up,1.1,0.9393761691241661,4.933883331726758e-08,1.0,0.0,1
1,up,1.125,0.9423891943211691,3.2594396159132207e-08,1.0,0.0,1
1,up,1.15,0.9451719752197635,2.1668012301138377e-08,1.0,0.0,1
1,up,1.175,0.9477484345014806,1.4487039294350684e-08,1.0,0.0,1
1,up,1.2,0.9501393448410947,9.736780868136794e-09,1.0,0.0,1
1,down,1.2,0.9501393495514578,1.2372886462723748e-16,1.0,0.0,1
1,down,1.175,0.9477484483694004,1.3662391906542335e-08,1.0,0.0,1
1,down,1.15,0.9451719963354793,2.038779278742058e-08,1.0,0.0,1
1,down,1.125,0.9423892266812083,3.059203616302037e-08,1.0,0.0,1
1,down,1.1,0.9393762190678324,4.6181358802105086e-08,1.0,0.0,1
1,down,1.075,0.936105282075845,7.01782398452262e-08,1.0,0.0,1
