run,direction,K,R_mean,R_std
19,forward,0.4,0.989277214962968,1.1315337275077305e-08
19,forward,0.45,0.995194397796075,7.380026875068107e-09
19,forward,0.5,0.9890127162073677,5.190182467905888e-10
19,forward,0.55,0.9921426530040852,8.721734637741506e-10
19,forward,0.6000000000000001,0.9928844579971701,1.179555435595537e-09
19,forward,0.65,0.9942160821380287,3.008338221774145e-11
19,forward,0.7,0.9976065503051376,5.379383374044096e-11
19,forward,0.75,0.9974279427419067,7.218938445534286e-12
19,forward,0.8,0.997874493753906,1.4739672599614246e-12
19,forward,0.8500000000000001,0.9983393817309925,6.727370586972201e-13
19,forward,0.9000000000000001,0.9988344356891734,5.1953534626863e-15
19,forward,0.95,0.9989206202096682,2.6887632794955973e-15
19,forward,1.0,0.998059739273985,1.3586063663551436e-16
19,forward,1.05,0.998659438243381,5.8461790584753e-16
19,forward,1.1,0.9989469007842084,2.375116250300149e-16
19,forward,1.1500000000000001,0.9990283245489695,9.641484255501877e-17
19,forward,1.2,0.99875891679353,1.0735345726716592e-16
0,backward,1.2,0.9972020044182546,1.4057954736022434e-16
0,backward,1.1500000000000001,0.9985340355044188,1.9122497189810832e-16
